Picard 
n:     x:               residuum:        estymator: 
 29    2.2049730e+00    1.5804118e-09    9.3132169e-11  
 30    2.2049730e+00    5.7721072e-10    4.6566084e-11  
 31    2.2049730e+00    7.5605300e-11    2.3283153e-11  
 32    2.2049730e+00    1.7520208e-10    1.1641577e-11  
 33    2.2049730e+00    4.9793947e-11    5.8208993e-12  
 34    2.2049730e+00    1.2910562e-11    2.9103386e-12  
 35    2.2049730e+00    1.8441693e-11    1.4552803e-12  
 36    2.2049730e+00    2.7609026e-12    7.2764017e-13  
 37    2.2049730e+00    5.0750515e-12    3.6370906e-13  
 38    2.2049730e+00    1.1617374e-12    1.8185453e-13  
 39    2.2049730e+00    7.9936058e-13    9.1038288e-14  
 40    2.2049730e+00    1.8607338e-13    4.5519144e-14  
 41    2.2049730e+00    3.1130654e-13    2.2870594e-14  
 42    2.2049730e+00    6.2616579e-14    1.1546319e-14  
 43    2.2049730e+00    6.1728400e-14    5.7731597e-15  
 44    2.2049730e+00    5.3290705e-15    2.8865799e-15  
 45    2.2049730e+00    3.2862602e-14    1.5543122e-15  
 46    2.2049730e+00    1.3766766e-14    8.8817842e-16  
 47    2.2049730e+00    3.9968029e-15    4.4408921e-16  
 48    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 49    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 50    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 51    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 52    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 53    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 54    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 55    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 56    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 57    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 58    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 59    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 60    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 61    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 62    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 63    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 64    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 65    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 66    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 67    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 68    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 69    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 70    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 71    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 72    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 73    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 74    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 75    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 76    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 77    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 78    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 79    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 80    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 81    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 82    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 83    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 84    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 85    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 86    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 87    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 88    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 89    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 90    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 91    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 92    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 93    2.2049730e+00    5.3290705e-15    2.2204460e-16  
 94    2.2049730e+00    5.3290705e-15    2.2204460e-16  
